date,precipitation,temp_max,temp_min,wind,climate
01-01-2012,0,12.8,5,4.7,cloudy
02-01-2012,10.9,10.6,2.8,4.5,rainy
03-01-2012,0.8,11.7,7.2,2.3,rainy
04-01-2012,20.3,12.2,5.6,4.7,rainy
05-01-2012,1.3,8.9,2.8,6.1,rainy
06-01-2012,2.5,4.4,2.2,2.2,rainy
07-01-2012,0,7.2,2.8,2.3,rainy
08-01-2012,0,10,2.8,2,sunny
09-01-2012,4.3,9.4,5,3.4,rainy
10-01-2012,1,6.1,0.6,3.4,rainy
11-01-2012,0,6.1,-1.1,5.1,sunny
12-01-2012,0,6.1,-1.7,1.9,sunny
13-01-2012,0,5,-2.8,1.3,sunny
14-01-2012,4.1,4.4,0.6,5.3,snowy
15-01-2012,5.3,1.1,-3.3,3.2,snowy
16-01-2012,2.5,1.7,-2.8,5,snowy
17-01-2012,8.1,3.3,0,5.6,snowy
18-01-2012,19.8,0,-2.8,5,snowy
19-01-2012,15.2,-1.1,-2.8,1.6,snowy
20-01-2012,13.5,7.2,-1.1,2.3,snowy
21-01-2012,3,8.3,3.3,8.2,rainy
22-01-2012,6.1,6.7,2.2,4.8,rainy
23-01-2012,0,8.3,1.1,3.6,rainy
24-01-2012,8.6,10,2.2,5.1,rainy
25-01-2012,8.1,8.9,4.4,5.4,rainy
26-01-2012,4.8,8.9,1.1,4.8,rainy
27-01-2012,0,6.7,-2.2,1.4,cloudy
28-01-2012,0,6.7,0.6,2.2,rainy
29-01-2012,27.7,9.4,3.9,4.5,rainy
30-01-2012,3.6,8.3,6.1,5.1,rainy
31-01-2012,1.8,9.4,6.1,3.9,rainy
01-02-2012,13.5,8.9,3.3,2.7,rainy
02-02-2012,0,8.3,1.7,2.6,sunny
03-02-2012,0,14.4,2.2,5.3,sunny
04-02-2012,0,15.6,5,4.3,sunny
05-02-2012,0,13.9,1.7,2.9,sunny
06-02-2012,0,16.1,1.7,5,sunny
07-02-2012,0.3,15.6,7.8,5.3,rainy
08-02-2012,2.8,10,5,2.7,rainy
09-02-2012,2.5,11.1,7.8,2.4,rainy
10-02-2012,2.5,12.8,6.7,3,rainy
11-02-2012,0.8,8.9,5.6,3.4,rainy
12-02-2012,1,8.3,5,1.3,rainy
13-02-2012,11.4,7.2,4.4,1.4,rainy
14-02-2012,2.5,6.7,1.1,3.1,rainy
15-02-2012,0,7.2,0.6,1.8,cloudy
16-02-2012,1.8,7.2,3.3,2.1,rainy
17-02-2012,17.3,10,4.4,3.4,rainy
18-02-2012,6.4,6.7,3.9,8.1,rainy
19-02-2012,0,6.7,2.2,4.7,sunny
20-02-2012,3,7.8,1.7,2.9,rainy
21-02-2012,0.8,10,7.8,7.5,rainy
22-02-2012,8.6,10,2.8,5.9,rainy
23-02-2012,0,8.3,2.8,3.9,sunny
24-02-2012,11.4,6.7,4.4,3.5,rainy
25-02-2012,0,7.2,2.8,6.4,rainy
26-02-2012,1.3,5,-1.1,3.4,snowy
27-02-2012,0,6.7,-2.2,3,sunny
28-02-2012,3.6,6.7,-0.6,4.2,snowy
29-02-2012,0.8,5,1.1,7,snowy
01-03-2012,0,6.1,1.1,3.1,sunny
02-03-2012,2,6.7,3.9,5.1,rainy
03-03-2012,0,12.2,6.7,7,sunny
04-03-2012,0,10.6,6.7,5.6,rainy
05-03-2012,6.9,7.8,1.1,6.2,rainy
06-03-2012,0.5,6.7,0,2.7,snowy
07-03-2012,0,8.9,-1.7,2.7,sunny
08-03-2012,0,15.6,0.6,2.5,sunny
09-03-2012,3.6,9.4,5,2.8,rainy
10-03-2012,10.4,7.2,6.1,3.4,rainy
11-03-2012,13.7,6.7,2.8,5.8,rainy
12-03-2012,19.3,8.3,0.6,6.2,snowy
13-03-2012,9.4,5.6,0.6,5.3,snowy
14-03-2012,8.6,7.8,1.1,4.7,rainy
15-03-2012,23.9,11.1,5.6,5.8,snowy
16-03-2012,8.4,8.9,3.9,5.1,rainy
17-03-2012,9.4,10,0.6,3.8,snowy
18-03-2012,3.6,5,-0.6,2.7,rainy
19-03-2012,2,7.2,-1.1,3,rainy
20-03-2012,3.6,7.8,2.2,6.4,rainy
21-03-2012,1.3,8.9,1.1,2.5,rainy
22-03-2012,4.1,10,1.7,2.1,rainy
23-03-2012,0,12.2,0.6,2.8,sunny
24-03-2012,0,15,3.3,5.2,sunny
25-03-2012,0,13.3,2.2,2.7,rainy
26-03-2012,0,12.8,6.1,4.3,cloudy
27-03-2012,4.8,14.4,6.7,3.8,rainy
28-03-2012,1.3,10.6,7.2,5.9,rainy
